material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.764,0.437,0.4298,3.66,0.853,0.415,1.5689,10.023,9328.71,5867.5
Gd,2.118,0.437,0.3637,1.04,0.854,0.398,0.3078,9.947,5668.97,1275.9
Gd,1.975,0.437,0.4083,12.39,0.614,0.395,1.5724,10.282,6499.64,14252.7
Gd,2.765,0.433,0.362,12.7,0.839,0.415,1.9582,10.376,9673.42,20356.8
Gd,2.804,0.516,0.4881,12.39,0.614,0.395,1.944,10.15,12616.63,20134.9
Gd,2.73,0.433,0.4299,2.3,0.839,0.418,0.3348,9.952,9724.2,3640.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.025,0.639,0.4995,1.03,0.682,0.317,0.0843,6.475,5261.62,624.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.103,0.639,0.4701,1.03,0.682,0.331,0.4487,8.153,5264.46,670.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.14,0.651,0.3446,1.05,0.659,0.338,0.5043,9.185,15310.52,690.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.074,1.406,0.4249,6.35,0.683,0.385,0.181,9.66,28847.96,3956.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.661,2.798,0.4989,6.0,0.682,0.364,0.1343,6.289,35348.54,9189.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.12,0.758,0.4989,1.07,0.932,0.364,0.4707,9.896,24648.29,694.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.885,1.403,0.4991,5.91,0.844,0.364,0.3784,8.583,32237.45,9800.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.766,1.429,0.4984,10.44,0.939,0.364,0.4708,8.673,34947.68,16619.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.723,0.645,0.4653,12.6,0.949,0.364,0.5505,9.627,30251.18,19743.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.827,0.64,0.4319,12.7,0.648,0.364,0.5534,9.796,27812.93,13377.1
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.002,1.212,0.3594,1.01,0.776,0.341,1.7146,0.0,0.0,600.0
