material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.513,0.316,0.4007,1.49,0.813,0.419,0.4447,10.168,3357.73,1322.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.217,1.296,0.414,1.48,0.619,0.407,1.2157,7.537,5468.62,1058.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.226,0.412,0.4056,1.04,0.643,0.423,1.2605,9.675,5102.86,754.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.185,4.793,0.4852,1.04,0.737,0.353,0.6767,3.168,6238.72,725.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.513,3.558,0.4835,1.61,0.8,0.472,0.3934,7.416,26983.86,1405.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.22,1.707,0.4126,6.72,0.78,0.382,1.2603,9.836,28244.9,4749.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.103,0.463,0.4847,1.69,0.875,0.346,1.2595,9.399,20864.02,1081.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.501,1.543,0.485,9.36,0.81,0.446,0.3849,9.677,34745.56,8116.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.815,4.7,0.4918,2.29,0.81,0.463,0.3933,5.927,32488.98,2394.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.812,4.7,0.4887,9.34,0.737,0.423,0.1518,5.802,38677.47,9761.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.506,1.503,0.4863,6.71,0.81,0.465,0.3882,9.508,31834.18,5842.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.078,0.451,0.493,2.51,0.811,0.409,0.4142,10.469,27156.55,1568.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.113,1.692,0.4957,9.29,0.717,0.423,0.1622,9.178,36331.46,5993.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.089,4.679,0.4487,8.61,0.738,0.423,0.1468,7.351,34816.69,5437.8
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.015,1.782,0.116,1.03,0.681,0.296,0.2486,0.0,0.0,621.3
